level,word,reading,meaning
N5,日本語,にほんご,일본어
N5,学生,がくせい,학생
N5,先生,せんせい,선생님
N5,友達,ともだち,친구
N5,今日,きょう,오늘
N5,明日,あした,내일
N5,昨日,きのう,어제
N5,水,みず,물
N5,食べる,たべる,먹다
N5,飲む,のむ,마시다
N5,行く,いく,가다
N5,来る,くる,오다
N5,見る,みる,보다
N5,聞く,きく,듣다/묻다
N5,話す,はなす,말하다
N5,書く,かく,쓰다
N5,読む,よむ,읽다
N5,大きい,おおきい,크다
N5,小さい,ちいさい,작다
N5,高い,たかい,높다/비싸다
N4,電車,でんしゃ,전철
N4,駅,えき,역
N4,病院,びょういん,병원
N4,薬,くすり,약
N4,天気,てんき,날씨
N4,春,はる,봄
N4,夏,なつ,여름
N4,秋,あき,가을
N4,冬,ふゆ,겨울
N4,旅行,りょこう,여행
N4,地図,ちず,지도
N4,電話,でんわ,전화
N4,会社,かいしゃ,회사
N4,仕事,しごと,일/업무
N4,料理,りょうり,요리
N4,音楽,おんがく,음악
N4,映画,えいが,영화
N4,運動,うんどう,운동
N4,練習,れんしゅう,연습
N4,勉強,べんきょう,공부
N3,経験,けいけん,경험
N3,可能,かのう,가능
N3,必要,ひつよう,필요
N3,重要,じゅうよう,중요
N3,特別,とくべつ,특별
N3,普通,ふつう,보통
N3,自然,しぜん,자연
N3,社会,しゃかい,사회
N3,政治,せいじ,정치
N3,経済,けいざい,경제
N3,文化,ぶんか,문화
N3,技術,ぎじゅつ,기술
N3,研究,けんきゅう,연구
N3,問題,もんだい,문제
N3,解決,かいけつ,해결
N3,変化,へんか,변화
N3,発展,はってん,발전
N3,計画,けいかく,계획
N3,準備,じゅんび,준비
N3,確認,かくにん,확인
N2,優先,ゆうせん,우선
N2,効率,こうりつ,효율
N2,影響,えいきょう,영향
N2,判断,はんだん,판단
N2,評価,ひょうか,평가
N2,分析,ぶんせき,분석
N2,改善,かいぜん,개선
N2,提案,ていあん,제안
N2,実施,じっし,실시
N2,管理,かんり,관리
N2,対策,たいさく,대책
N2,状況,じょうきょう,상황
N2,要因,よういん,요인
N2,目的,もくてき,목적
N2,手段,しゅだん,수단
N2,過程,かてい,과정
N2,結果,けっか,결과
N2,原因,げんいん,원인
N2,結論,けつろん,결론
N2,主張,しゅちょう,주장
N1,概念,がいねん,개념
N1,抽象,ちゅうしょう,추상
N1,具体,ぐたい,구체
N1,論理,ろんり,논리
N1,哲学,てつがく,철학
N1,思想,しそう,사상
N1,理念,りねん,이념
N1,倫理,りんり,윤리
N1,道徳,どうとく,도덕
N1,価値観,かちかん,가치관
N1,観念,かんねん,관념
N1,本質,ほんしつ,본질
N1,実存,じつぞん,실존
N1,超越,ちょうえつ,초월
N1,絶対,ぜったい,절대
N1,相対,そうたい,상대
N1,矛盾,むじゅん,모순
N1,統合,とうごう,통합
N1,象徴,しょうちょう,상징
N1,普遍,ふへん,보편
